#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR5864","SAMN05607051","PRJNA339871","GCA_001975105.1","Complete",7.31738,68.0776,"chromosome 1:NZ_CP017048.1/CP017048.1; chromosome 2:NZ_CP017049.1/CP017049.1",,2,6453,"2017-01-30T00:00:00Z"
"Burkholderia pseudomallei MSHR62","Bacteria;Proteobacteria;Betaproteobacteria","MSHR62","SAMN02990927","PRJNA231467","GCA_000770395.1","Complete",7.22543,68.1653,"chromosome 1:NZ_CP009235.1/CP009235.1; chromosome 2:NZ_CP009234.1/CP009234.1",,2,6072,"2014-10-31T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR6522","SAMN05607055","PRJNA339871","GCA_001974745.1"," Chromosome",7.28581,68.1347,"chromosome 2:NZ_CM007659.1/CM007659.1","MECZ01",3,6977,"2017-01-27T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR668","SAMN03075633","PRJNA238566","GCA_000959305.1","Complete",7.04271,68.2664,"chromosome I:NZ_CP009545.1/CP009545.1; chromosome II:NZ_CP009546.1/CP009546.1",,2,5942,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR6755","SAMN05607056","PRJNA339871","GCA_001975085.1","Complete",7.30061,68.0781,"chromosome 1:NZ_CP017046.1/CP017046.1; chromosome 2:NZ_CP017047.1/CP017047.1",,2,6117,"2017-01-30T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR7929","SAMN05607057","PRJNA339871","GCA_001975065.1","Complete",7.2485,68.1354,"chromosome 1:NZ_CP017044.1/CP017044.1; chromosome 2:NZ_CP017045.1/CP017045.1",,2,6460,"2017-01-30T00:00:00Z"
"Burkholderia pseudomallei MSHR840","Bacteria;Proteobacteria;Betaproteobacteria","MSHR840","SAMN03068727","PRJNA238264","GCA_000959185.1","Complete",7.12981,68.0923,"chromosome I:NZ_CP009474.1/CP009474.1; chromosome II:NZ_CP009473.1/CP009473.1",,2,5939,"2015-03-20T00:00:00Z"
"Burkholderia ubonensis","Bacteria;Proteobacteria;Betaproteobacteria","MSMB2035","SAMN03449265","PRJNA279182","GCA_001718655.1","Complete",7.23506,66.8518,"chromosome 1:NZ_CP013414.1/CP013414.1; chromosome 2:NZ_CP013416.1/CP013416.1; plasmid pMSMB2035:NZ_CP013415.1/CP013415.1",,3,6463,"2016-09-02T00:00:00Z"
"Burkholderia ubonensis MSMB22","Bacteria;Proteobacteria;Betaproteobacteria","MSMB22","SAMN03072629","PRJNA239258","GCA_000959245.1","Complete",7.18907,67.3091,"chromosome I:NZ_CP009488.1/CP009488.1; chromosome II:NZ_CP009486.1/CP009486.1; chromosome III:NZ_CP009487.1/CP009487.1",,3,6168,"2015-03-20T00:00:00Z"
"Burkholderia thailandensis MSMB59","Bacteria;Proteobacteria;Betaproteobacteria","MSMB59","SAMN03097425","PRJNA178997","GCA_000764595.1","Complete",6.7395,67.6608,"chromosome 1:NZ_CP004385.1/CP004385.1; chromosome 2:NZ_CP004386.1/CP004386.1",,2,5723,"2014-10-08T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","MSMB59","SAMN03449259","PRJNA279182","GCA_001718595.1","Complete",6.73953,67.6606,"chromosome 1:NZ_CP013407.1/CP013407.1; chromosome 2:NZ_CP013408.1/CP013408.1",,2,5730,"2016-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MS","SAMN04966273","PRJNA321146","GCA_001695735.1","Complete",7.31364,67.978,"chromosome 1:NZ_CP016636.1/CP016636.1; chromosome 2:NZ_CP016637.1/CP016637.1",,2,6053,"2016-07-28T00:00:00Z"
"Paraburkholderia caribensis","Bacteria;Proteobacteria;Betaproteobacteria","MWAP64","SAMN04031629","PRJNA294731","GCA_001449005.1","Complete",9.03212,62.5464,"chromosome 1:NZ_CP013102.1/CP013104.1; chromosome 2:NZ_CP013103.1/CP013103.1; plasmid 1:NZ_CP013104.1/CP013104.1; plasmid 2:NZ_CP013105.1/CP013103.1",,4,7744,"2015-11-24T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Mahidol-1106a","SAMN02866341","PRJNA244417","GCA_000756125.1","Complete",7.0854,68.2625,"chromosome 1:NZ_CP008781.1/CP008781.1; chromosome 2:NZ_CP008782.1/CP008782.1",,2,5958,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei NAU20B-16","Bacteria;Proteobacteria;Betaproteobacteria","NAU20B-16","SAMN02641524","PRJNA178676","GCA_000511915.1","Complete",7.31385,68.0219,"chromosome I:NZ_CP004003.1/CP004003.1; chromosome II:NZ_CP004004.1/CP004004.1",,2,6458,"2013-12-26T00:00:00Z"
"Burkholderia pseudomallei NAU35A-3","Bacteria;Proteobacteria;Betaproteobacteria","NAU35A-3","SAMN03097381","PRJNA178677","GCA_000764575.1","Complete",7.20408,68.0804,"chromosome 1:NZ_CP004377.1/CP004377.1; chromosome 2:NZ_CP004378.1/CP004378.1",,2,6032,"2014-10-08T00:00:00Z"
"Burkholderia mallei NCTC 10229","Bacteria;Proteobacteria;Betaproteobacteria","NCTC 10229","SAMN02604032","PRJNA13943","GCA_000015605.1","Complete",5.7423,68.4784,"chromosome I:NC_008836.1/CP000546.1; chromosome II:NC_008835.1/CP000545.1",,2,5233,"2007-01-30T00:00:00Z"
"Burkholderia mallei NCTC 10247","Bacteria;Proteobacteria;Betaproteobacteria","NCTC 10247","SAMN02604033","PRJNA13946","GCA_000015625.1","Complete",5.84838,68.5218,"chromosome I:NC_009080.1/CP000548.1; chromosome II:NC_009079.1/CP000547.1",,2,5329,"2007-02-27T00:00:00Z"
"Burkholderia mallei NCTC 10247","Bacteria;Proteobacteria;Betaproteobacteria","NCTC 10247","SAMN02798191","PRJNA238810","GCA_000762285.1","Complete",5.82766,68.5228,"chromosome 1:NZ_CP007802.1/CP007802.1; chromosome 2:NZ_CP007801.1/CP007801.1",,2,4874,"2014-10-02T00:00:00Z"
"Burkholderia pseudomallei NCTC 13178","Bacteria;Proteobacteria;Betaproteobacteria","NCTC 13178","SAMN02641521","PRJNA178668","GCA_000511895.1","Complete",7.39136,67.9365,"chromosome I:NZ_CP004001.1/CP004001.1; chromosome II:NZ_CP004002.1/CP004002.1",,2,6563,"2013-12-26T00:00:00Z"
"Burkholderia pseudomallei NCTC 13179","Bacteria;Proteobacteria;Betaproteobacteria","NCTC 13179","SAMN02603566","PRJNA177186","GCA_000494855.1","Complete",7.33716,67.991,"chromosome I:NC_022659.1/CP003976.1; chromosome II:NC_022658.1/CP003977.1",,2,6053,"2013-11-01T00:00:00Z"
"Ralstonia solanacearum OE1-1","Bacteria;Proteobacteria;Betaproteobacteria","OE1-1","SAMD00034391","PRJDB4012","GCA_001879565.1","Complete",5.76297,66.868,"chromosome:NZ_CP009764.1/CP009764.1; plasmid unnamed:NZ_CP009763.1/CP009763.1",,2,4875,"2016-11-16T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","P824","SAMN08196801","PRJNA422804","GCA_003576625.1"," Chromosome",6.0093,66.0714,"chromosome CM:NZ_CP025741.1/CP025741.1; chromosome MP:NZ_CP025742.1/CP025742.1",,2,4689,"2018-09-19T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","PAMC 26510","SAMN06075481","PRJNA355373","GCA_002141475.1","Contig",7.87214,59.7,,"NBTY01",224,6873,"2017-05-16T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","PAMC 26577","SAMN06092826","PRJNA355627","GCA_002141485.1","Contig",8.33421,59.4,,"NBTZ01",182,7292,"2017-05-16T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","PAMC 26633","SAMN06075480","PRJNA355372","GCA_002220365.1","Contig",9.74657,59.5,,"MTHB01",307,8270,"2017-07-17T00:00:00Z"
"Burkholderia plantarii","Bacteria;Proteobacteria;Betaproteobacteria","PG1","SAMN03081274","PRJNA33837","GCA_000835205.1","Complete",7.89654,68.7782,"chromosome 1:NZ_CP002580.1/CP002580.1; chromosome 2:NZ_CP002581.1/CP002581.1",,2,6537,"2015-02-10T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","PHLS 112","SAMN02849693","PRJNA244403","GCA_000757015.2","Complete",7.20236,68.1791,"chromosome I:NZ_CP009585.1/CP009585.1; chromosome II:NZ_CP009586.1/CP009586.1",,2,6055,"2015-03-20T00:00:00Z"
"Paraburkholderia caledonica","Bacteria;Proteobacteria;Betaproteobacteria","PHRS4","SAMN07985394","PRJNA417370","GCA_003330745.1","Complete",7.21116,61.9094,"chromosome PHRS4_A:NZ_CP024905.1/CP024905.1; chromosome PHRS4_B:NZ_CP024906.1/CP024906.1; plasmid pPHRS4:NZ_CP024907.1/CP024907.1",,3,6042,"2018-07-20T00:00:00Z"
"Ralstonia solanacearum PSI07","Bacteria;Proteobacteria;Betaproteobacteria","PSI07","SAMEA2272112","PRJEA50683","GCA_000283475.1","Complete",5.60562,66.2884,"chromosome:NC_014311.1/FP885906.2; plasmid mpPSI07:NC_014310.1/FP885891.2",,2,4668,"2010-06-22T00:00:00Z"
"Paraburkholderia_sacchari",,"LMG 19450",,"PRJNA263694","GCF_000785435.2",,,,,
"Ralstonia solanacearum Po82","Bacteria;Proteobacteria;Betaproteobacteria","Po82","SAMN02603411","PRJNA66837","GCA_000215325.1","Complete",5.43026,66.6359,"chromosome:NC_017574.1/CP002819.1; plasmid megaplasmid:NC_017575.1/CP002820.1",,2,4583,"2011-05-27T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","R15","SAMN08120385","PRJNA420809","GCA_003547015.1","Complete",7.17939,68.2035,"chromosome R15.1:NZ_CP025304.1/CP025304.1; chromosome R15.2:NZ_CP025305.1/CP025305.1",,2,6207,"2018-09-12T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","RSCM","SAMN08180272","PRJNA422474","GCA_002894285.1","Complete",6.00071,66.7212,"chromosome:NZ_CP025985.1/CP025985.1; plasmid p-unname2:NZ_CP025986.1/CP025986.1",,2,5046,"2018-01-22T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","RS 488","SAMN07176573","PRJNA388430","GCA_002501565.1","Complete",5.41169,66.5739,"chromosome:NZ_CP021652.1/CP021652.1; plasmid unnamed:NZ_CP021653.1/CP021653.1",,2,4572,"2017-10-10T00:00:00Z"
"Paraburkholderia fungorum","Bacteria;Proteobacteria;Betaproteobacteria","S2_003_000_R1_1","SAMN07426501","PRJNA376580","GCA_003243335.1","Scaffold",8.53833,61.9,,"QFRC01",262,7516,"2018-06-18T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SEPPX05","SAMN06610220","PRJNA379485","GCA_002162015.1","Complete",5.99693,66.8689,"chromosome:NZ_CP021448.1/CP021448.1; plasmid pSEPPX05:NZ_CP021449.1/CP021449.1",,2,5132,"2017-05-31T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL2064","SAMN07430682","PRJNA396777","GCA_003515445.1","Complete",5.47361,66.4311,"chromosome:NZ_CP022798.1/CP022798.1; plasmid unnamed:NZ_CP022799.1/CP022799.1",,2,4658,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL2729","SAMN07430685","PRJNA396777","GCA_003515405.1","Complete",5.70334,67.0046,"chromosome:NZ_CP022792.1/CP022792.1; plasmid unnamed:NZ_CP022793.1/CP022793.1",,2,4801,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3103","SAMN07430687","PRJNA396777","GCA_003515205.1","Complete",5.61813,67.014,"chromosome:NZ_CP022790.1/CP022790.1; plasmid unnamed:NZ_CP022791.1/CP022791.1",,2,4665,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3175","SAMN07430688","PRJNA396777","GCA_003515185.1","Complete",5.55599,66.3285,"chromosome:NZ_CP022788.1/CP022788.1; plasmid unnamed:NZ_CP022789.1/CP022789.1",,2,4713,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3300","SAMN07430689","PRJNA396777","GCA_003515625.1","Complete",5.90391,66.7689,"chromosome:NZ_CP022786.1/CP022786.1; plasmid unnamed:NZ_CP022787.1/CP022787.1",,2,4996,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3730","SAMN07430690","PRJNA396777","GCA_003515365.1","Complete",5.68606,66.9693,"chromosome:NZ_CP022784.1/CP022784.1; plasmid unnamed:NZ_CP022785.1/CP022785.1",,2,4694,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3755","SAMN07430691","PRJNA396777","GCA_003515345.1","Complete",5.79285,66.9693,"chromosome:NZ_CP022782.1/CP022782.1; plasmid unnamed:NZ_CP022783.1/CP022783.1",,2,4800,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","SL3882","SAMN07430693","PRJNA396777","GCA_003515585.1","Complete",6.02587,66.8037,"chromosome:NZ_CP022778.1/CP022778.1; plasmid unnamed:NZ_CP022779.1/CP022779.1",,2,5102,"2018-09-10T00:00:00Z"
"Burkholderia_phymatum",,"STM815",,"PRJNA17409","GCF_000020045.1",,,,,
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T101","SAMN07430704","PRJNA396777","GCA_003515485.1","Complete",5.52137,66.4,"chromosome:NZ_CP022757.1/CP022757.1; plasmid unnamed:NZ_CP022758.1/CP022758.1",,2,4565,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T110","SAMN07430705","PRJNA396777","GCA_003515465.1","Complete",5.64224,67.0646,"chromosome:CP023012.1; plasmid unnamed:CP023013.1",,2,2819,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T117","SAMN07430706","PRJNA396777","GCA_003515245.1","Complete",5.80746,66.9355,"chromosome:NZ_CP022755.1/CP022755.1; plasmid unnamed:NZ_CP022756.1/CP022756.1",,2,4884,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T11","SAMN07430694","PRJNA396777","GCA_003515165.1","Complete",5.45063,66.3654,"chromosome:NZ_CP022776.1/CP022776.1; plasmid unnamed:NZ_CP022777.1/CP022777.1",,2,4638,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T12","SAMN07430695","PRJNA396777","GCA_003515325.1","Complete",5.52098,66.4,"chromosome:NZ_CP022774.1/CP022774.1; plasmid unnamed:NZ_CP022775.1/CP022775.1",,2,4412,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T25","SAMN07430696","PRJNA396777","GCA_003515305.1","Complete",5.71551,67,"chromosome:CP023014.1; plasmid unnamed:CP023015.1",,2,4097,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T42","SAMN07430697","PRJNA396777","GCA_003515565.1","Complete",5.4977,66.9648,"chromosome:NZ_CP022772.1/CP022772.1; plasmid unnamed:NZ_CP022773.1/CP022773.1",,2,4661,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T51","SAMN07430698","PRJNA396777","GCA_003515145.1","Complete",5.40085,66.4302,"chromosome:NZ_CP022770.1/CP022770.1; plasmid unnamed:NZ_CP022771.1/CP022771.1",,2,4607,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T523","SAMN07436295","PRJNA396766","GCA_003595325.1"," Chromosome",5.72233,67,"chromosome:NZ_CP022702.1/CP022702.1; plasmid p10319MP:NZ_CP022703.1/CP022703.1",,2,4828,"2017-08-14T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T60","SAMN07430699","PRJNA396777","GCA_003515545.1","Complete",6.01555,66.8033,"chromosome:NZ_CP022768.1/CP022768.1; plasmid unnamed:NZ_CP022769.1/CP022769.1",,2,5096,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T78","SAMN07430700","PRJNA396777","GCA_003515285.1","Complete",6.14743,66.6981,"chromosome:NZ_CP022765.1/CP022765.1; plasmid pRsT78:NZ_CP022767.1/CP022767.1; plasmid unnamed:NZ_CP022766.1/CP022766.1",,3,5228,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T82","SAMN07430701","PRJNA396777","GCA_003515525.1","Complete",5.52146,66.4,"chromosome:NZ_CP022763.1/CP022763.1; plasmid unnamed:NZ_CP022764.1/CP022764.1",,2,4599,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T95","SAMN07430702","PRJNA396777","GCA_003515505.1","Complete",5.47451,66.4312,"chromosome:NZ_CP022761.1/CP022761.1; plasmid unnamed:NZ_CP022762.1/CP022762.1",,2,4675,"2018-09-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","T98","SAMN07430703","PRJNA396777","GCA_003515265.1","Complete",5.55598,66.3285,"chromosome:NZ_CP022759.1/CP022759.1; plasmid unnamed:NZ_CP022760.1/CP022760.1",,2,4715,"2018-09-10T00:00:00Z"
"Paraburkholderia caribensis","Bacteria;Proteobacteria;Betaproteobacteria","TJ182","SAMN08794467","PRJNA445638","GCA_003028645.1","Contig",9.20567,62.5,,"PYUB01",274,7894,"2018-04-01T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","TSV202","SAMN02951647","PRJNA231208","GCA_000770565.1","Complete",7.81414,67.5125,"chromosome 1:NZ_CP009157.1/CP009155.1; chromosome 2:NZ_CP009156.1/CP009154.1; plasmid 1:NZ_CP009155.1/CP009157.1; plasmid 2:NZ_CP009154.1/CP009154.1",,4,6624,"2014-10-31T13:19:00Z"
"Burkholderia pseudomallei TSV 48","Bacteria;Proteobacteria;Betaproteobacteria","TSV 48","SAMN02951644","PRJNA231196","GCA_000770495.1","Complete",7.33762,68.0199,"chromosome 1:NZ_CP009161.1/CP009161.1; chromosome 2:NZ_CP009160.1/CP009160.1",,2,6114,"2014-10-31T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey10","SAMN03121657","PRJNA264186","GCA_002346005.1","Complete",5.72898,68.3572,"chromosome 1:NZ_CP010348.1/CP010348.1; chromosome 2:NZ_CP010349.1/CP010349.1",,2,4859,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey1","SAMN03121648","PRJNA264186","GCA_002345985.1","Complete",5.59187,68.5033,"chromosome 1:NZ_CP009725.1/CP009725.1; chromosome 2:NZ_CP009726.1/CP009726.1",,2,4710,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey2","SAMN03121649","PRJNA264186","GCA_002346025.1","Complete",5.59205,68.5034,"chromosome 1:NZ_CP009727.1/CP009727.1; chromosome 2:NZ_CP009728.1/CP009728.1",,2,4715,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey3","SAMN03121650","PRJNA264186","GCA_002346065.1","Complete",5.66318,68.3602,"chromosome 1:NZ_CP009729.1/CP009729.1; chromosome 2:NZ_CP009730.1/CP009730.1",,2,4814,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey4","SAMN03121651","PRJNA264186","GCA_002346085.1","Complete",5.7326,68.3573,"chromosome 1:NZ_CP009731.1/CP009731.1; chromosome 2:NZ_CP009732.1/CP009732.1",,2,4885,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey7","SAMN03121654","PRJNA264186","GCA_002346145.1","Complete",5.72529,68.4375,"chromosome 1:NZ_CP009737.1/CP009737.1; chromosome 2:NZ_CP009738.1/CP009738.1",,2,4842,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey8","SAMN03121655","PRJNA264186","GCA_002346165.1","Complete",5.69439,68.4352,"chromosome 1:NZ_CP009739.1/CP009739.1; chromosome 2:NZ_CP009740.1/CP009740.1",,2,4820,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey9","SAMN03121656","PRJNA264186","GCA_002346185.1","Complete",5.77431,68.4417,"chromosome 1:NZ_CP009741.1/CP009741.1; chromosome 2:NZ_CP009742.1/CP009742.1",,2,4867,"2017-09-22T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","UW163","SAMN04123295","PRJNA297400","GCA_001587135.1","Complete",5.59624,66.5684,"chromosome:NZ_CP012939.1/CP012939.1; plasmid pUW163a:NZ_CP012941.1/CP012941.1; plasmid pUW163b:NZ_CP012942.1/CP012942.1; plasmid unnamed:NZ_CP012940.1/CP012940.1",,4,4750,"2016-03-11T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","UW386","SAMN11352627","PRJNA531204","GCA_006088755.1","Complete",5.48838,66.9333,"chromosome:NZ_CP039339.1/CP039339.1; plasmid pUW386:NZ_CP039340.1/CP039340.1",,2,4602,"2019-06-06T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","UY031","SAMN03402637","PRJNA278086","GCA_001299555.1","Complete",5.41168,66.5739,"chromosome:NZ_CP012687.1/CP012687.1; plasmid unnamed:NZ_CP012688.1/CP012688.1",,2,4576,"2015-09-25T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","VB2514","SAMN11792775","PRJNA543968","GCA_005862325.1","Complete",7.10328,67.9632,"chromosome 1:NZ_CP040551.1/CP040551.1; chromosome 2:NZ_CP040552.1/CP040552.1",,2,6433,"2019-05-28T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","VB3253","SAMN11774884","PRJNA543683","GCA_005853645.1","Complete",7.1805,68.0643,"chromosome 1:NZ_CP040531.1/CP040531.1; chromosome 2:NZ_CP040532.1/CP040532.1",,2,6527,"2019-05-27T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","VB976100","SAMN05930279","PRJNA349440","GCA_001885195.1","Complete",7.28121,68.0191,"chromosome 1:NZ_CP018054.1/CP018054.1; chromosome 2:NZ_CP018055.1/CP018055.1",,2,6429,"2016-11-22T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","YC40-M","SAMN04537371","PRJNA314427","GCA_001663415.1","Complete",5.75213,66.7005,"chromosome:NZ_CP015850.1/CP015850.1; plasmid unnamed:NZ_CP015851.1/CP015851.1",,2,4892,"2016-06-16T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","YC45","SAMN03765658","PRJNA286156","GCA_001267515.1","Complete",5.73291,67.0949,"chromosome:CP011997.1; plasmid unnamed:CP011998.1",,2,4621,"2015-08-14T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Yap1","SAMN11191480","PRJNA528470","GCA_008728375.1","Complete",7.14185,68.2348,"chromosome 1:NZ_CP038226.1/CP038226.1; chromosome 2:NZ_CP038227.1/CP038227.1",,2,6885,"2019-09-30T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Yap2a","SAMN11191481","PRJNA528470","GCA_008728355.1","Complete",7.09944,68.2339,"chromosome 1:NZ_CP038224.1/CP038224.1; chromosome 2:NZ_CP038225.1/CP038225.1",,2,6845,"2019-09-30T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Yap3a","SAMN11191485","PRJNA528470","GCA_008728335.1","Complete",7.10248,68.2339,"chromosome 1:NZ_CP038222.1/CP038222.1; chromosome 2:NZ_CP038223.1/CP038223.1",,2,6839,"2019-09-30T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Yap4","SAMN11191490","PRJNA528470","GCA_008728315.1","Complete",7.0916,68.2782,"chromosome 1:NZ_CP038220.1/CP038220.1; chromosome 2:NZ_CP038221.1/CP038221.1",,2,6830,"2019-09-30T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Yap5","SAMN11191491","PRJNA528470","GCA_008728295.1","Complete",7.10654,68.2339,"chromosome 1:NZ_CP038218.1/CP038218.1; chromosome 2:NZ_CP038219.1/CP038219.1",,2,6834,"2019-09-30T00:00:00Z"
"Paraburkholderia terricola","Bacteria;Proteobacteria;Betaproteobacteria","mHS1","SAMN07985400","PRJNA417370","GCA_003330825.1","Complete",7.11804,63.6711,"chromosome mHS1_A:NZ_CP024941.1/CP024941.1; chromosome mHS1_B:NZ_CP024942.1/CP024942.1",,2,6159,"2018-07-20T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","mHSR1","SAMN07985401","PRJNA417370","GCA_003330805.1","Complete",10.8166,61.9835,"chromosome mHSR1_A:NZ_CP024937.1/CP024937.1; chromosome mHSR1_B:NZ_CP024938.1/CP024938.1; chromosome mHSR1_C:NZ_CP024939.1/CP024939.1; plasmid pmHSR1_P:NZ_CP024940.1/CP024940.1",,4,9362,"2018-07-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","vgh07","SAMN03372474","PRJNA276393","GCA_000954175.1","Complete",7.04578,68.202,"chromosome 1:NZ_CP010973.1/CP010973.1; chromosome 2:NZ_CP010974.1/CP010974.1",,2,5966,"2015-03-17T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","vgh16R","SAMN04009759","PRJNA294029","GCA_001277875.1","Complete",7.26651,68.0777,"chromosome 1:NZ_CP012515.1/CP012515.1; chromosome 2:NZ_CP012516.1/CP012516.1",,2,6104,"2015-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","vgh16W","SAMN04009760","PRJNA294030","GCA_001277895.1","Complete",7.26681,68.0777,"chromosome 1:NZ_CP012517.1/CP012517.1; chromosome 2:NZ_CP012518.1/CP012518.1",,2,6076,"2015-09-02T00:00:00Z"
